region,LBMB011,LBMB043,LBMB198,LBMB200,LBMB203,LBMB204,LBMB205,LBMB206,LBMB207,LBMB208,LBMB210,LBMB211,LBMB212,LBMB213,LBMB216,LBMB217,LBMB218,LBMB219,LBMB220,LBMB221,LBMB222,LBMB223,LBMB224,LBMB225,LBMB226,LBMB227,LBMB228,LBMB229,LBMB230,LBMB231,LBMB232,LBMB233,LBMB234,LBMB235,LBMB236,LBMB237,LBMB238,LBMB239,LBMB240,LBMB241,LBMB242,LBMB243,LBMB244,LBMB245,LBMB246,LBMB247,LBMB248,LBMB249,MB001A,MB004A,MB005A,MB007A,MB008A,MB009A,MB011A,MB012A,MB015A,MB016A,MB017A,MB018A,MB020A,MB021A,MB022A,MB023A,MB025A,MB028A,MB029A,MB030A,MB031A,MB032A,MB037A,MB039A,MB042A,MB045A,MB053A,LBHC018,CRCC83,CRCC86,CRCC90,LBHC029,LBHC030,LBHC033,LBHC022,LBHC046,LBHC050,LBHC051,LBHC052,LBHC055,LBHC056,LBHC044,LBHC054,LBHC060,LBHC062,LBHC064,LBHC065,LBHC066,LBHC068,LBHC071,LBHC073,CRCC100,CRCC101,CRCC107,CRCC11,CRCC4,CRCC5,CRCC7,CRCC8,CRCC9,CRCC97,CRCC108,CRCC109,CRCC110,CRCC111,LBGS006,LBGS009,LBGS013,LBGS015,LBGS016,LBGS017,LBGS019,LBGS021,LBGS027,LBGS033,LBGS036,LBGS042,LBGS065,LBGS066,LBGS067,LBGS089,LBGS092,LBGS096,LBGS098,LBGS099,LBGS106,LBGS109,CRCC12,LBGS111
1,98.20627802690584,95.94594594594597,99.04761904761904,100.0,61.90476190476189,100.0,91.47727272727272,95.6175298804781,96.07142857142856,97.26027397260276,94.6808510638298,86.95652173913044,95.65217391304348,96.53465346534654,96.03960396039604,89.28571428571429,97.42268041237114,98.24561403508773,92.17877094972069,93.33333333333331,97.72727272727272,96.25,94.54545454545456,98.83720930232558,94.9367088607595,100.0,100.0,91.40350877192982,100.0,88.48484848484848,93.16239316239316,94.29657794676808,96.7741935483871,93.38842975206612,99.35483870967742,98.2089552238806,94.77611940298507,97.28813559322032,93.30543933054392,99.23954372623574,95.91836734693878,97.5975975975976,96.84210526315788,98.88888888888889,98.47908745247148,97.75280898876404,94.9074074074074,96.58119658119658,99.04306220095694,100.0,0.0,87.5,97.84482758620688,92.06798866855526,0.0,93.35664335664336,97.45222929936304,100.0,97.682119205298,100.0,95.81589958158996,96.34464751958228,94.51052150045746,100.0,96.875,90.85365853658536,95.65217391304348,91.28919860627178,98.23788546255506,96.55172413793105,96.3963963963964,92.92035398230088,91.0569105691057,72.41379310344827,100.0,97.33840304182507,93.44262295081968,95.23809523809524,96.0,98.83527454242927,96.78899082568807,77.77777777777777,96.25,92.38095238095238,94.9367088607595,94.8051948051948,100.0,100.0,98.95833333333331,90.21739130434784,93.5897435897436,90.3225806451613,100.0,95.1219512195122,99.13419913419914,71.29186602870813,97.63513513513512,94.57831325301204,97.8494623655914,93.79084967320262,95.05617977528092,95.76271186440678,97.42268041237114,97.63779527559056,96.11398963730568,93.88379204892968,100.0,97.0,100.0,87.09677419354838,96.49122807017544,92.3076923076923,100.0,95.91836734693878,96.59863945578232,99.10714285714286,88.75739644970416,97.88732394366195,95.38461538461536,98.25581395348836,97.53086419753086,93.33333333333331,96.93877551020408,97.48743718592964,95.625,100.0,93.75,98.05194805194805,94.20289855072464,98.64864864864865,95.79831932773112,89.74358974358974,90.35087719298244,95.56786703601108,95.1219512195122,97.67441860465117,100.0
2,10.58823529411765,5.928853754940707,24.999999999999996,24.75247524752476,14.54545454545455,0.0,5.2631578947368425,10.306406685236762,10.869565217391312,15.306122448979592,0.0,0.0,11.864406779661008,6.06060606060606,28.571428571428573,12.82051282051282,9.401709401709391,4.123711340206189,6.334841628959274,0.0,29.21348314606741,4.580152671755725,3.225806451612903,37.03703703703704,17.18750000000001,0.0,15.384615384615383,10.60171919770774,4.347826086956523,13.281250000000004,75.0,14.285714285714286,26.666666666666668,6.666666666666667,16.363636363636378,21.33333333333333,0.0,7.999999999999992,3.658536585365856,3.0303030303030303,11.188811188811185,11.578947368421057,9.523809523809527,15.789473684210533,10.596026490066226,29.26829268292683,20.3125,6.344410876132933,14.03508771929824,1.851851851851856,0.0,11.11111111111111,16.9642857142857,17.543859649122815,40.0,9.629629629629626,9.333333333333336,9.160305343511457,13.04347826086957,4.3478260869565215,5.172413793103448,13.235294117647063,9.909909909909906,0.0,2.873563218390806,9.459459459459463,19.480519480519487,6.701030927835049,15.748031496062993,31.37254901960784,12.0,7.6923076923076925,8.955223880597016,14.92537313432836,6.25,8.33333333333334,6.250000000000004,42.30769230769231,6.896551724137931,11.961722488038284,0.0,10.185185185185182,27.777777777777768,10.3448275862069,2.678571428571432,9.090909090909092,2.9411764705882355,5.55555555555555,12.499999999999996,11.267605633802816,10.95890410958904,10.185185185185192,14.285714285714286,6.329113924050635,8.695652173913043,5.479452054794519,7.017543859649122,13.333333333333334,14.15929203539823,3.1914893617021263,6.25,5.454545454545458,7.086614173228346,4.9999999999999964,13.333333333333329,4.484304932735423,9.13978494623656,0.7092198581560284,0.0,7.692307692307689,6.25,3.246753246753248,12.871287128712872,2.158273381294965,5.414012738853503,5.982905982905983,5.733944954128437,1.908396946564886,3.726708074534165,9.014084507042254,5.105105105105105,5.785123966942147,5.59006211180124,4.821428571428569,3.49344978165939,23.80952380952381,9.03954802259887,5.421686746987952,6.840390879478829,6.329113924050635,8.235294117647058,5.62913907284768,1.8518518518518532,6.950354609929077,5.58375634517767,6.32183908045977,4.651162790697675
3,14.184397163120572,5.555555555555554,5.240174672489082,4.615384615384615,22.17898832684824,6.3063063063063085,3.003003003003003,3.622250970245796,10.939357907253273,1.6891891891891886,20.0,0.0,5.025996533795498,3.1941031941031945,7.51295336787565,6.71641791044776,9.38271604938272,6.776859504132231,5.296610169491526,1.6666666666666656,14.130434782608692,0.0,37.22222222222221,16.788321167883204,7.356948228882836,0.0,1.724137931034481,20.120120120120124,4.012345679012345,5.454545454545458,0.467289719626168,7.309941520467835,17.511520737327185,4.166666666666663,9.133489461358314,5.565217391304349,1.185770750988142,13.698630136986296,8.254716981132072,3.90625,4.774535809018563,1.714285714285716,0.0,21.17962466487935,4.123711340206185,2.9304029304029324,2.083333333333334,3.603603603603604,21.55172413793104,10.769230769230768,28.695652173913043,0.0,1.7488076311605705,9.592326139088726,0.0,4.441260744985672,0.0,6.622516556291386,6.730769230769232,0.0,5.140186915887857,7.109004739336496,5.4815974941268575,5.907172995780597,15.656565656565652,0.7843137254901953,2.1739130434782608,10.027855153203342,10.365853658536585,9.278350515463922,13.076923076923087,1.6460905349794237,12.850467289719626,2.5641025641025643,12.000000000000004,11.441647597254011,0.0,5.263157894736841,5.769230769230768,14.103585657370513,4.568527918781723,11.46496815286624,6.1946902654867255,22.16216216216216,5.4726368159204,2.083333333333333,6.521739130434785,3.045685279187817,0.4081632653061228,18.06853582554517,1.395348837209304,1.871657754010694,2.051282051282052,7.299270072992695,0.740740740740741,0.5524861878453037,7.843137254901965,4.700854700854698,5.3571428571428585,8.179959100204494,10.360360360360362,0.6249999999999984,5.429864253393671,0.6006006006006008,2.998236331569665,2.457466918714556,1.0563380281690131,1.6786570743405267,4.071246819338423,5.208333333333325,2.8037383177570083,4.139433551198255,0.0,15.224913494809694,6.818181818181821,1.851851851851853,19.12393162393163,4.255319148936171,9.859154929577464,1.9753086419753072,0.990099009900992,11.827956989247314,5.924170616113745,1.927194860813704,5.974025974025972,0.7462686567164194,5.188679245283021,2.8901734104046226,11.940298507462684,0.0,2.643171806167401,3.061224489795918,7.558139534883721,2.20689655172414,21.711899791231737,5.472636815920396,24.886877828054292
4,32.38095238095239,6.97823303457106,0.0,13.008130081300816,22.641509433962263,0.0,1.6279069767441856,5.063291139240504,5.816554809843399,8.064516129032262,10.344827586206891,0.0,19.14893617021277,7.640750670241288,13.225806451612897,0.0,9.82905982905983,3.877551020408159,5.333333333333333,2.8846153846153846,6.465517241379311,3.3707865168539324,15.95744680851064,36.98630136986301,17.368421052631575,6.586826347305389,2.027027027027027,18.31831831831832,8.350305498981673,12.87878787878788,2.2222222222222223,7.169811320754719,18.59649122807017,0.0,3.947368421052632,6.315789473684214,4.878048780487803,5.369127516778524,16.4179104477612,10.220440881763537,12.5,2.049180327868851,4.320987654320986,29.241877256317714,3.424657534246577,18.181818181818183,4.67289719626168,12.041884816753925,9.661835748792274,2.9411764705882355,37.5,0.0,25.96153846153846,19.114688128772634,0.0,29.499323410013528,8.333333333333336,18.128654970760238,4.166666666666669,6.910569105691059,19.51219512195122,6.911142454160784,11.590296495956878,1.7391304347826086,17.618270799347474,4.201680672268908,0.0,3.1250000000000004,2.390438247011953,4.761904761904758,4.761904761904764,0.0,13.2034632034632,3.2653061224489823,2.3391812865497075,8.441558441558435,0.0,5.0,10.924369747899156,9.585253456221194,4.229607250755285,0.0,0.0,4.250559284116327,9.467455621301774,10.72961373390558,8.8,0.0,14.64968152866242,14.503816793893124,6.06060606060606,4.4502617801047135,6.329113924050633,2.459016393442623,4.000000000000002,9.926470588235295,10.734463276836154,5.095541401273887,6.024096385542169,9.566787003610107,22.594142259414237,6.683168316831685,8.174904942965782,2.5974025974025965,14.211212516297255,10.281923714759538,7.575757575757576,4.629629629629633,8.10810810810811,5.346534653465346,8.346709470304978,12.359550561797748,2.398081534772183,3.832116788321166,3.576982892690512,6.705969049373619,5.936395759717312,5.494505494505495,10.289389067524116,8.887545344619102,6.298200514138816,6.315789473684212,6.573426573426572,3.9674465920651056,6.070826306913999,1.804123711340205,12.098009188361406,1.1857707509881426,6.079999999999997,10.980392156862743,7.524271844660193,10.425531914893622,2.8112449799196777,6.090071647901739,9.684684684684685,5.2344601962922575,9.273570324574957
5,100.0,94.8529411764706,98.57142857142856,93.75,93.81443298969074,96.03960396039604,96.7032967032967,95.1951951951952,93.07228915662652,95.2153110047847,96.96969696969695,95.0,97.91666666666669,97.0873786407767,86.33540372670808,100.0,94.92385786802032,91.2568306010929,96.15384615384616,90.52631578947368,98.26589595375722,100.0,90.27777777777776,94.3661971830986,98.1818181818182,98.23008849557522,94.73684210526316,87.23404255319149,89.36170212765957,92.6829268292683,100.0,94.73684210526316,93.82022471910112,100.0,96.15384615384616,98.13664596273291,92.5233644859813,95.3125,96.55172413793106,93.51351351351352,93.56435643564356,91.75824175824177,93.15068493150685,93.19727891156462,97.74436090225564,90.51724137931036,91.83673469387756,94.67213114754098,97.83783783783784,84.48275862068965,96.7741935483871,95.08196721311477,93.36016096579476,89.09090909090911,92.3076923076923,90.27777777777776,96.3963963963964,100.0,95.86206896551724,82.08955223880598,92.85714285714286,90.43478260869568,97.20588235294116,90.47619047619048,93.62244897959184,96.11111111111111,96.22641509433964,94.53125,92.20183486238534,100.0,97.61904761904762,94.54545454545456,90.32258064516132,95.23809523809524,92.3913043478261,96.46017699115043,91.07142857142856,100.0,90.74074074074076,94.35146443514644,96.11650485436896,85.55555555555556,92.5925925925926,98.36065573770492,95.96774193548386,91.04477611940298,91.52542372881356,88.88888888888889,96.22641509433964,88.76404494382022,88.73239436619718,95.59748427672956,91.89189189189187,92.10526315789474,85.57692307692308,90.41916167664672,89.09090909090911,97.67441860465117,94.69026548672566,93.87755102040816,97.38805970149254,89.47368421052634,97.26027397260276,97.5609756097561,93.717277486911,94.76744186046513,97.14285714285714,79.16666666666667,90.69767441860466,96.84210526315788,97.31543624161075,87.1951219512195,97.10144927536231,100.0,95.65217391304348,93.6305732484076,92.018779342723,98.93617021276596,92.04545454545452,98.07692307692308,93.63636363636364,100.0,97.87234042553192,95.95959595959596,92.06349206349206,96.05263157894736,96.59863945578232,95.16129032258064,92.85714285714286,94.57364341085272,95.73459715639812,89.99999999999997,97.35449735449735,96.27118644067797,96.22641509433964,84.01826484018267,98.21428571428572
6,96.61016949152544,91.66666666666669,94.33962264150944,89.2857142857143,91.66666666666669,97.91666666666664,66.66666666666667,87.34177215189875,91.66666666666669,96.40287769784172,91.66666666666669,0.0,100.0,94.3181818181818,92.72727272727272,100.0,88.37209302325579,92.62295081967214,88.88888888888891,100.0,100.0,100.0,100.0,100.0,97.10144927536231,95.65217391304346,100.0,86.50306748466258,94.54545454545456,95.77464788732392,100.0,92.95774647887325,100.0,100.0,95.1219512195122,84.84848484848487,98.87640449438204,92.45283018867924,100.0,96.61016949152544,96.3302752293578,94.8051948051948,90.0,84.21052631578944,93.25842696629216,91.66666666666669,87.75510204081634,95.1219512195122,88.88888888888889,68.08510638297872,100.0,100.0,96.875,97.33333333333331,88.23529411764707,87.27272727272725,95.55555555555551,93.33333333333331,97.59036144578316,90.74074074074076,100.0,90.29126213592232,85.82677165354328,100.0,96.73202614379085,89.90825688073394,90.0,96.55172413793105,92.4050632911392,97.87234042553192,93.74999999999996,92.3076923076923,92.5925925925926,80.00000000000003,95.34883720930232,84.5238095238095,100.0,100.0,96.0,97.05882352941178,100.0,96.72131147540983,95.45454545454544,89.65517241379311,95.45454545454544,100.0,100.0,100.0,90.9090909090909,93.75,100.0,97.1830985915493,100.0,88.88888888888887,98.79518072289156,100.0,90.27777777777776,98.07692307692308,95.6989247311828,83.50515463917527,87.50000000000003,83.33333333333331,100.0,88.57142857142858,94.16666666666669,90.41095890410956,91.66666666666669,100.0,100.0,91.42857142857144,100.0,100.0,89.99999999999997,98.0,95.0,88.23529411764706,85.50724637681161,94.44444444444444,97.50000000000004,91.07142857142856,91.17647058823528,100.0,95.83333333333336,98.14814814814814,91.8032786885246,100.0,95.58823529411764,97.91666666666669,84.12698412698415,100.0,92.70833333333331,97.43589743589745,100.0,91.8181818181818,100.0,97.61904761904763,88.04347826086959
7,100.0,100.0,100.0,100.0,100.0,83.33333333333336,100.0,100.0,93.47826086956522,91.4285714285714,100.0,100.0,94.44444444444444,96.42857142857144,100.0,0.0,80.0,87.27272727272727,90.78947368421056,100.0,95.65217391304353,95.45454545454544,0.0,100.0,100.0,100.0,100.0,93.75,100.0,97.43589743589745,100.0,100.0,100.0,100.0,97.05882352941174,100.0,80.0,98.14814814814817,95.65217391304353,98.36065573770492,100.0,92.3076923076923,100.0,100.0,88.5714285714286,100.0,94.44444444444444,91.17647058823528,90.9090909090909,100.0,100.0,100.0,97.14285714285708,91.54929577464787,100.0,100.0,100.0,100.0,96.7741935483871,100.0,100.0,86.046511627907,93.167701863354,100.0,95.65217391304348,100.0,100.0,100.0,83.78378378378378,100.0,100.0,50.0,86.66666666666666,100.0,50.0,100.0,87.5,100.0,100.0,94.33962264150944,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.75,77.7777777777778,100.0,100.0,95.5555555555556,100.0,92.3076923076923,96.15384615384616,100.0,100.0,100.0,100.0,96.7213114754098,93.33333333333336,100.0,100.0,78.57142857142854,96.29629629629632,96.4912280701754,100.0,0.0,100.0,100.0,77.7777777777778,100.0,100.0,100.0,92.5,96.96969696969694,77.77777777777774,100.0,92.8571428571429,100.0,88.46153846153847,100.0,91.66666666666669,90.9090909090909,100.0,87.99999999999996,100.0,100.0,100.0,100.0,97.2222222222222,100.0,100.0,97.43589743589746,92.5925925925926,90.4761904761905,100.0
8,15.625000000000004,34.959349593495936,6.060606060606064,24.840764331210195,32.14285714285714,70.76923076923076,12.903225806451609,39.93506493506494,33.95638629283489,18.18181818181818,0.0,47.12643678160919,50.75757575757577,6.944444444444445,21.538461538461544,5.882352941176471,27.85714285714285,45.38461538461539,22.64150943396226,27.586206896551744,44.9197860962567,16.796875000000007,14.084507042253518,28.346456692913392,38.59649122807016,56.41025641025641,47.52475247524753,53.92354124748489,10.555555555555555,37.3015873015873,10.377358490566031,6.930693069306929,32.0754716981132,0.0,36.875,10.45454545454545,35.48387096774192,19.636363636363644,11.428571428571434,12.46537396121884,42.78606965174129,20.12987012987013,18.181818181818183,36.40350877192981,39.05579399141631,13.669064748201434,5.479452054794525,15.517241379310342,0.0,27.45098039215685,30.0,50.0,49.38775510204081,28.27225130890052,0.0,2.6143790849673225,8.035714285714281,45.0,27.272727272727263,35.38461538461537,41.02564102564103,37.569060773480665,34.02255639097745,2.857142857142857,5.882352941176473,24.468085106382983,58.333333333333336,34.22222222222223,6.751054852320677,9.090909090909092,65.68627450980391,17.355371900826455,35.81081081081079,0.0,35.087719298245624,28.20512820512821,19.23076923076924,52.38095238095238,0.0,31.84357541899442,7.142857142857143,32.467532467532465,39.21568627450981,20.6896551724138,22.58064516129032,31.249999999999996,56.56565656565657,38.66666666666666,44.0,0.0,6.951871657754008,17.29323308270677,30.55555555555556,48.888888888888886,35.48387096774195,27.966101694915263,12.65060240963856,38.04347826086955,22.727272727272727,58.88324873096447,76.15384615384615,23.972602739726018,2.22222222222222,29.729729729729723,25.438596491228044,40.251572327044016,31.325301204819286,16.66666666666666,39.583333333333336,45.65217391304347,8.287292817679559,23.77049180327868,3.508771929824568,22.95081967213116,19.44444444444444,14.184397163120565,71.75925925925925,28.767123287671247,11.16071428571428,9.146341463414636,41.7910447761194,20.000000000000004,29.82456140350877,18.39080459770115,51.5527950310559,18.390804597701145,14.75409836065574,26.31578947368422,41.05263157894737,10.526315789473689,22.891566265060234,14.634146341463412,21.739130434782624,32.89473684210526,12.32876712328767,9.289617486338798,5.309734513274334
9,20.192307692307686,29.545454545454557,16.494845360824737,8.080808080808074,49.22279792746115,28.767123287671225,29.09090909090909,18.03278688524591,30.147058823529388,15.827338129496397,14.598540145985398,11.475409836065571,30.451127819548866,10.74380165289256,12.92134831460674,16.417910447761187,25.92592592592593,27.81954887218045,17.808219178082187,37.27272727272727,32.12996389891697,15.962441314553988,10.526315789473683,17.82178217821781,12.500000000000002,48.333333333333336,20.88607594936708,67.92763157894736,5.303030303030304,9.554140127388536,9.090909090909092,30.630630630630623,10.227272727272732,7.042253521126758,38.04878048780487,15.28384279475982,15.0,11.70731707317073,29.22077922077923,18.918918918918923,22.60869565217392,31.125827814569536,30.508474576271176,28.57142857142856,16.666666666666657,9.090909090909088,14.173228346456698,16.11111111111111,29.16666666666666,27.81954887218045,34.17721518987344,21.62162162162162,22.09677419354839,20.603015075376884,68.18181818181819,7.142857142857145,39.99999999999999,0.0,24.223602484472043,43.548387096774185,9.090909090909088,10.233918128654969,27.81569965870308,26.80412371134021,13.40579710144928,7.865168539325838,11.538461538461538,26.4423076923077,12.727272727272736,20.00000000000001,24.36548223350253,12.499999999999996,17.757009345794394,50.51546391752576,25.882352941176464,18.181818181818183,18.269230769230763,11.86440677966102,19.672131147540995,22.241681260945704,5.2631578947368425,27.906976744186046,5.882352941176474,5.084745762711866,10.81081081081081,9.756097560975611,10.526315789473683,0.0,19.753086419753085,9.999999999999996,21.80451127819548,8.571428571428575,7.792207792207792,14.285714285714295,8.074534161490684,21.73913043478261,6.593406593406595,43.31550802139039,29.41176470588236,23.529411764705884,43.00518134715025,19.11764705882352,18.378378378378365,12.987012987012989,12.403100775193804,18.018018018018005,10.526315789473694,3.703703703703704,29.54545454545454,21.62162162162162,9.271523178807955,49.494949494949495,8.66141732283465,24.999999999999982,5.343511450381682,25.563909774436095,44.80874316939893,5.3097345132743365,10.156250000000004,23.829787234042545,23.71134020618557,14.44444444444444,12.096774193548384,5.7971014492753605,24.69135802469136,16.793893129771003,19.23076923076924,9.790209790209786,15.254237288135585,22.13740458015268,7.407407407407407,15.27777777777778,22.033898305084737,15.920398009950242,25.21739130434783,26.415094339622648,19.35483870967742
10,0.0,0.1059322033898305,2.564102564102562,0.0,0.8982035928143715,0.0,1.404494382022472,1.5936254980079678,3.2467532467532445,1.311475409836067,2.4390243902439024,0.0,0.0,1.0144927536231876,0.7633587786259542,0.0,0.0,1.8306636155606413,1.6885553470919337,0.8658008658008649,0.6410256410256411,0.0,0.0,0.0,0.4545454545454545,0.5025125628140703,1.1450381679389312,0.3460207612456747,2.6785714285714266,0.546448087431694,0.0,0.9132420091324204,2.214022140221403,0.0,0.0,0.7009345794392523,0.0,1.2121212121212102,2.4590163934426243,0.2824858757062146,0.4807692307692308,0.5859374999999996,0.0,14.634146341463426,0.0,0.0,1.1904761904761905,0.1824817518248176,0.9367681498829028,0.0,0.0,2.362204724409451,0.0,0.3629764065335756,0.0,2.545454545454543,0.7246376811594196,0.0,1.5957446808510638,0.0,0.9174311926605512,0.468384074941452,0.243605359317905,1.098901098901099,1.0657193605683823,0.3861003861003857,1.7045454545454546,0.0,0.925925925925926,0.0,0.0,0.0,0.3021148036253776,1.058201058201058,2.083333333333333,0.3424657534246575,1.449275362318842,9.302325581395344,0.0,0.5128205128205113,0.641025641025641,0.0,0.0,0.781250000000001,0.0,1.145038167938932,0.0,1.020408163265306,1.492537313432836,0.3134796238244516,3.508771929824561,2.092050209205021,1.5037593984962416,0.0,0.2849002849002846,0.91743119266055,0.673400673400674,2.094240837696333,0.9975062344139662,0.4854368932038839,0.5305039787798409,0.2949852507374631,1.4534883720930236,0.0,0.0,1.178451178451179,0.9230769230769222,0.970873786407767,2.07373271889401,0.0,0.6289308176100634,0.0,0.0,1.7045454545454553,1.0050251256281406,1.3289036544850494,0.7797270955165694,0.0,1.0695187165775406,1.9927536231884064,0.0,0.2044989775051126,0.625,0.6968641114982579,0.7653061224489804,0.2688172043010751,0.2150537634408601,1.1627906976744198,0.5208333333333339,0.6849315068493158,0.6211180124223602,0.0,1.675977653631285,0.289855072463768,0.5791505791505791,2.4482109227871947,0.8403361344537826
